plot,range,line,entry,source,rep,environment,id_sample,sample_name,experiment_name,sampling_identifier,measurment,season,LAI_FILE,LAI,DATE,TIME,Days_after_planting
3,2,SA18-11280,7,Scaboo,1,Early,3_A_ACRE-Biomass_Early_y22_LAI_sampling-1,A,ACRE-Biomass,sampling-1,LAI,y22,AE1-003A,0.8457,7/13/2022,7:35:06,42
3,2,SA18-11280,7,Scaboo,1,Early,3_B_ACRE-Biomass_Early_y22_LAI_sampling-1,B,ACRE-Biomass,sampling-1,LAI,y22,AE1-003B,2.631,7/13/2022,7:36:11,42
3,2,SA18-11280,7,Scaboo,1,Early,3_A_ACRE-Biomass_Early_y22_LAI_sampling-2,A,ACRE-Biomass,sampling-2,LAI,y22,AE2-003A,2.068,7/25/2022,7:30:12,54
3,2,SA18-11280,7,Scaboo,1,Early,3_B_ACRE-Biomass_Early_y22_LAI_sampling-2,B,ACRE-Biomass,sampling-2,LAI,y22,AE2-003B,3.064,7/25/2022,7:31:12,54
3,2,SA18-11280,7,Scaboo,1,Early,3_A_ACRE-Biomass_Early_y22_LAI_sampling-3,A,ACRE-Biomass,sampling-3,LAI,y22,AE3-003A,3.753,8/1/2022,15:19:26,61
3,2,SA18-11280,7,Scaboo,1,Early,3_B_ACRE-Biomass_Early_y22_LAI_sampling-3,B,ACRE-Biomass,sampling-3,LAI,y22,AE3-003B,3.694,8/1/2022,15:20:12,61
3,2,SA18-11280,7,Scaboo,1,Early,3_A_ACRE-Biomass_Early_y22_LAI_sampling-4,A,ACRE-Biomass,sampling-4,LAI,y22,AE4-003A,3.979,8/9/2022,7:40:49,69
3,2,SA18-11280,7,Scaboo,1,Early,3_B_ACRE-Biomass_Early_y22_LAI_sampling-4,B,ACRE-Biomass,sampling-4,LAI,y22,AE4-003B,3.946,8/9/2022,7:41:43,69
3,2,SA18-11280,7,Scaboo,1,Early,3_A_ACRE-Biomass_Early_y22_LAI_sampling-5,A,ACRE-Biomass,sampling-5,LAI,y22,AE5-003A,5.423,8/17/2022,7:50:13,77
3,2,SA18-11280,7,Scaboo,1,Early,3_B_ACRE-Biomass_Early_y22_LAI_sampling-5,B,ACRE-Biomass,sampling-5,LAI,y22,AE5-003B,5.416,8/17/2022,7:50:49,77
4,2,CR16-2874,19,Rainey,1,Early,4_A_ACRE-Biomass_Early_y22_LAI_sampling-1,A,ACRE-Biomass,sampling-1,LAI,y22,AE1-004A,0.6217,7/13/2022,7:37:33,42
4,2,CR16-2874,19,Rainey,1,Early,4_B_ACRE-Biomass_Early_y22_LAI_sampling-1,B,ACRE-Biomass,sampling-1,LAI,y22,AE1-004B,2.08,7/13/2022,7:39:10,42
4,2,CR16-2874,19,Rainey,1,Early,4_A_ACRE-Biomass_Early_y22_LAI_sampling-2,A,ACRE-Biomass,sampling-2,LAI,y22,AE2-004A,2.418,7/25/2022,7:32:03,54
4,2,CR16-2874,19,Rainey,1,Early,4_B_ACRE-Biomass_Early_y22_LAI_sampling-2,B,ACRE-Biomass,sampling-2,LAI,y22,AE2-004B,2.931,7/25/2022,7:32:56,54
4,2,CR16-2874,19,Rainey,1,Early,4_A_ACRE-Biomass_Early_y22_LAI_sampling-3,A,ACRE-Biomass,sampling-3,LAI,y22,AE3-004A,2.753,8/1/2022,15:21:00,61
4,2,CR16-2874,19,Rainey,1,Early,4_B_ACRE-Biomass_Early_y22_LAI_sampling-3,B,ACRE-Biomass,sampling-3,LAI,y22,AE3-004B,3.598,8/1/2022,15:21:49,61
4,2,CR16-2874,19,Rainey,1,Early,4_A_ACRE-Biomass_Early_y22_LAI_sampling-4,A,ACRE-Biomass,sampling-4,LAI,y22,AE4-004A,3.35,8/9/2022,7:42:57,69
4,2,CR16-2874,19,Rainey,1,Early,4_B_ACRE-Biomass_Early_y22_LAI_sampling-4,B,ACRE-Biomass,sampling-4,LAI,y22,AE4-004B,3.379,8/9/2022,7:44:03,69
4,2,CR16-2874,19,Rainey,1,Early,4_A_ACRE-Biomass_Early_y22_LAI_sampling-5,A,ACRE-Biomass,sampling-5,LAI,y22,AE5-004A,4.534,8/17/2022,7:51:15,77
4,2,CR16-2874,19,Rainey,1,Early,4_B_ACRE-Biomass_Early_y22_LAI_sampling-5,B,ACRE-Biomass,sampling-5,LAI,y22,AE5-004B,4.86,8/17/2022,7:52:25,77
5,2,LD15-3818,11,Diers,1,Early,5_A_ACRE-Biomass_Early_y22_LAI_sampling-1,A,ACRE-Biomass,sampling-1,LAI,y22,AE1-005A,2.093,7/13/2022,7:40:03,42
5,2,LD15-3818,11,Diers,1,Early,5_B_ACRE-Biomass_Early_y22_LAI_sampling-1,B,ACRE-Biomass,sampling-1,LAI,y22,AE1-005B,1.493,7/13/2022,7:40:47,42
5,2,LD15-3818,11,Diers,1,Early,5_A_ACRE-Biomass_Early_y22_LAI_sampling-2,A,ACRE-Biomass,sampling-2,LAI,y22,AE2-005A,2.707,7/25/2022,7:34:52,54
5,2,LD15-3818,11,Diers,1,Early,5_B_ACRE-Biomass_Early_y22_LAI_sampling-2,B,ACRE-Biomass,sampling-2,LAI,y22,AE2-005B,1.696,7/25/2022,7:35:40,54
5,2,LD15-3818,11,Diers,1,Early,5_A_ACRE-Biomass_Early_y22_LAI_sampling-3,A,ACRE-Biomass,sampling-3,LAI,y22,AE3-005A,2.742,8/1/2022,15:26:58,61
5,2,LD15-3818,11,Diers,1,Early,5_B_ACRE-Biomass_Early_y22_LAI_sampling-3,B,ACRE-Biomass,sampling-3,LAI,y22,AE3-005B,5.676,8/1/2022,15:27:31,61
5,2,LD15-3818,11,Diers,1,Early,5_A_ACRE-Biomass_Early_y22_LAI_sampling-4,A,ACRE-Biomass,sampling-4,LAI,y22,AE4-005A,2.928,8/9/2022,7:44:54,69
5,2,LD15-3818,11,Diers,1,Early,5_B_ACRE-Biomass_Early_y22_LAI_sampling-4,B,ACRE-Biomass,sampling-4,LAI,y22,AE4-005B,2.846,8/9/2022,7:45:21,69
5,2,LD15-3818,11,Diers,1,Early,5_A_ACRE-Biomass_Early_y22_LAI_sampling-5,A,ACRE-Biomass,sampling-5,LAI,y22,AE5-005A,3.7,8/17/2022,7:52:52,77
5,2,LD15-3818,11,Diers,1,Early,5_B_ACRE-Biomass_Early_y22_LAI_sampling-5,B,ACRE-Biomass,sampling-5,LAI,y22,AE5-005B,4.076,8/17/2022,7:53:26,77
6,2,SA17-30464,8,Scaboo,1,Early,6_A_ACRE-Biomass_Early_y22_LAI_sampling-1,A,ACRE-Biomass,sampling-1,LAI,y22,AE1-006A,3.346,7/13/2022,7:42:33,42
6,2,SA17-30464,8,Scaboo,1,Early,6_B_ACRE-Biomass_Early_y22_LAI_sampling-1,B,ACRE-Biomass,sampling-1,LAI,y22,AE1-006B,1.077,7/13/2022,7:43:40,42
6,2,SA17-30464,8,Scaboo,1,Early,6_A_ACRE-Biomass_Early_y22_LAI_sampling-2,A,ACRE-Biomass,sampling-2,LAI,y22,AE2-006A,2.116,7/25/2022,7:36:35,54
6,2,SA17-30464,8,Scaboo,1,Early,6_B_ACRE-Biomass_Early_y22_LAI_sampling-2,B,ACRE-Biomass,sampling-2,LAI,y22,AE2-006B,2.41,7/25/2022,7:37:22,54
6,2,SA17-30464,8,Scaboo,1,Early,6_A_ACRE-Biomass_Early_y22_LAI_sampling-3,A,ACRE-Biomass,sampling-3,LAI,y22,AE3-006A,4.281,8/1/2022,15:28:02,61
6,2,SA17-30464,8,Scaboo,1,Early,6_B_ACRE-Biomass_Early_y22_LAI_sampling-3,B,ACRE-Biomass,sampling-3,LAI,y22,AE3-006B,6.684,8/1/2022,15:28:31,61
6,2,SA17-30464,8,Scaboo,1,Early,6_A_ACRE-Biomass_Early_y22_LAI_sampling-4,A,ACRE-Biomass,sampling-4,LAI,y22,AE4-006A,3.829,8/9/2022,7:46:20,69
6,2,SA17-30464,8,Scaboo,1,Early,6_B_ACRE-Biomass_Early_y22_LAI_sampling-4,B,ACRE-Biomass,sampling-4,LAI,y22,AE4-006B,4.042,8/9/2022,7:46:45,69
6,2,SA17-30464,8,Scaboo,1,Early,6_A_ACRE-Biomass_Early_y22_LAI_sampling-5,A,ACRE-Biomass,sampling-5,LAI,y22,AE5-006A,4.604,8/17/2022,7:53:52,77
6,2,SA17-30464,8,Scaboo,1,Early,6_B_ACRE-Biomass_Early_y22_LAI_sampling-5,B,ACRE-Biomass,sampling-5,LAI,y22,AE5-006B,5.377,8/17/2022,7:54:32,77
7,3,U14-910097,25,Checks,1,Early,7_A_ACRE-Biomass_Early_y22_LAI_sampling-1,A,ACRE-Biomass,sampling-1,LAI,y22,AE1-007A,0.8487,7/13/2022,7:44:51,42
7,3,U14-910097,25,Checks,1,Early,7_B_ACRE-Biomass_Early_y22_LAI_sampling-1,B,ACRE-Biomass,sampling-1,LAI,y22,AE1-007B,1.521,7/13/2022,7:46:22,42
7,3,U14-910097,25,Checks,1,Early,7_A_ACRE-Biomass_Early_y22_LAI_sampling-2,A,ACRE-Biomass,sampling-2,LAI,y22,AE2-007A,1.955,7/25/2022,7:51:45,54
7,3,U14-910097,25,Checks,1,Early,7_B_ACRE-Biomass_Early_y22_LAI_sampling-2,B,ACRE-Biomass,sampling-2,LAI,y22,AE2-007B,2.462,7/25/2022,7:52:26,54
7,3,U14-910097,25,Checks,1,Early,7_A_ACRE-Biomass_Early_y22_LAI_sampling-3,A,ACRE-Biomass,sampling-3,LAI,y22,AE3-007A,4.015,8/1/2022,15:29:13,61
7,3,U14-910097,25,Checks,1,Early,7_B_ACRE-Biomass_Early_y22_LAI_sampling-3,B,ACRE-Biomass,sampling-3,LAI,y22,AE3-007B,4.386,8/1/2022,15:29:45,61
7,3,U14-910097,25,Checks,1,Early,7_A_ACRE-Biomass_Early_y22_LAI_sampling-4,A,ACRE-Biomass,sampling-4,LAI,y22,AE4-007A,3.804,8/9/2022,7:47:21,69
7,3,U14-910097,25,Checks,1,Early,7_B_ACRE-Biomass_Early_y22_LAI_sampling-4,B,ACRE-Biomass,sampling-4,LAI,y22,AE4-007B,3.983,8/9/2022,7:47:59,69
7,3,U14-910097,25,Checks,1,Early,7_A_ACRE-Biomass_Early_y22_LAI_sampling-5,A,ACRE-Biomass,sampling-5,LAI,y22,AE5-007A,4.562,8/17/2022,7:55:14,77
7,3,U14-910097,25,Checks,1,Early,7_B_ACRE-Biomass_Early_y22_LAI_sampling-5,B,ACRE-Biomass,sampling-5,LAI,y22,AE5-007B,5.677,8/17/2022,7:55:41,77
8,3,E18610T,2,Wang,1,Early,8_A_ACRE-Biomass_Early_y22_LAI_sampling-1,A,ACRE-Biomass,sampling-1,LAI,y22,AE1-008A,0.6315,7/13/2022,7:50:42,42
8,3,E18610T,2,Wang,1,Early,8_B_ACRE-Biomass_Early_y22_LAI_sampling-1,B,ACRE-Biomass,sampling-1,LAI,y22,AE1-008B,1.042,7/13/2022,7:51:40,42
8,3,E18610T,2,Wang,1,Early,8_A_ACRE-Biomass_Early_y22_LAI_sampling-2,A,ACRE-Biomass,sampling-2,LAI,y22,AE2-008A,1.539,7/25/2022,7:53:13,54
8,3,E18610T,2,Wang,1,Early,8_B_ACRE-Biomass_Early_y22_LAI_sampling-2,B,ACRE-Biomass,sampling-2,LAI,y22,AE2-008B,0.73,7/25/2022,7:54:05,54
8,3,E18610T,2,Wang,1,Early,8_A_ACRE-Biomass_Early_y22_LAI_sampling-3,A,ACRE-Biomass,sampling-3,LAI,y22,AE3-008A,2.849,8/1/2022,15:30:17,61
8,3,E18610T,2,Wang,1,Early,8_B_ACRE-Biomass_Early_y22_LAI_sampling-3,B,ACRE-Biomass,sampling-3,LAI,y22,AE3-008B,3.61,8/1/2022,15:31:15,61
8,3,E18610T,2,Wang,1,Early,8_A_ACRE-Biomass_Early_y22_LAI_sampling-4,A,ACRE-Biomass,sampling-4,LAI,y22,AE4-008A,2.193,8/9/2022,7:48:40,69
8,3,E18610T,2,Wang,1,Early,8_B_ACRE-Biomass_Early_y22_LAI_sampling-4,B,ACRE-Biomass,sampling-4,LAI,y22,AE4-008B,1.839,8/9/2022,7:49:03,69
8,3,E18610T,2,Wang,1,Early,8_A_ACRE-Biomass_Early_y22_LAI_sampling-5,A,ACRE-Biomass,sampling-5,LAI,y22,AE5-008A,2.204,8/17/2022,7:56:25,77
8,3,E18610T,2,Wang,1,Early,8_B_ACRE-Biomass_Early_y22_LAI_sampling-5,B,ACRE-Biomass,sampling-5,LAI,y22,AE5-008B,2.818,8/17/2022,7:56:56,77
9,3,LD07-3395bf,10,Diers,1,Early,9_A_ACRE-Biomass_Early_y22_LAI_sampling-1,A,ACRE-Biomass,sampling-1,LAI,y22,AE1-009A,1.224,7/13/2022,7:53:22,42
9,3,LD07-3395bf,10,Diers,1,Early,9_B_ACRE-Biomass_Early_y22_LAI_sampling-1,B,ACRE-Biomass,sampling-1,LAI,y22,AE1-009B,1.317,7/13/2022,7:54:04,42
9,3,LD07-3395bf,10,Diers,1,Early,9_A_ACRE-Biomass_Early_y22_LAI_sampling-2,A,ACRE-Biomass,sampling-2,LAI,y22,AE2-009A,2.115,7/25/2022,7:54:44,54
9,3,LD07-3395bf,10,Diers,1,Early,9_B_ACRE-Biomass_Early_y22_LAI_sampling-2,B,ACRE-Biomass,sampling-2,LAI,y22,AE2-009B,2.15,7/25/2022,7:55:27,54
9,3,LD07-3395bf,10,Diers,1,Early,9_A_ACRE-Biomass_Early_y22_LAI_sampling-3,A,ACRE-Biomass,sampling-3,LAI,y22,AE3-009A,5.617,8/1/2022,15:31:49,61
9,3,LD07-3395bf,10,Diers,1,Early,9_B_ACRE-Biomass_Early_y22_LAI_sampling-3,B,ACRE-Biomass,sampling-3,LAI,y22,AE3-009B,5.264,8/1/2022,15:32:25,61
9,3,LD07-3395bf,10,Diers,1,Early,9_A_ACRE-Biomass_Early_y22_LAI_sampling-4,A,ACRE-Biomass,sampling-4,LAI,y22,AE4-009A,4.303,8/9/2022,7:49:30,69
9,3,LD07-3395bf,10,Diers,1,Early,9_B_ACRE-Biomass_Early_y22_LAI_sampling-4,B,ACRE-Biomass,sampling-4,LAI,y22,AE4-009B,3.668,8/9/2022,7:50:10,69
9,3,LD07-3395bf,10,Diers,1,Early,9_A_ACRE-Biomass_Early_y22_LAI_sampling-5,A,ACRE-Biomass,sampling-5,LAI,y22,AE5-009A,5.009,8/17/2022,7:57:25,77
9,3,LD07-3395bf,10,Diers,1,Early,9_B_ACRE-Biomass_Early_y22_LAI_sampling-5,B,ACRE-Biomass,sampling-5,LAI,y22,AE5-009B,4.966,8/17/2022,8:00:05,77
10,3,K17-6388,4,Schapaugh,1,Early,10_A_ACRE-Biomass_Early_y22_LAI_sampling-1,A,ACRE-Biomass,sampling-1,LAI,y22,AE1-010A,1.344,7/13/2022,7:54:54,42
10,3,K17-6388,4,Schapaugh,1,Early,10_B_ACRE-Biomass_Early_y22_LAI_sampling-1,B,ACRE-Biomass,sampling-1,LAI,y22,AE1-010B,2.24,7/13/2022,7:55:32,42
10,3,K17-6388,4,Schapaugh,1,Early,10_A_ACRE-Biomass_Early_y22_LAI_sampling-2,A,ACRE-Biomass,sampling-2,LAI,y22,AE2-010A,2.493,7/25/2022,7:56:12,54
10,3,K17-6388,4,Schapaugh,1,Early,10_B_ACRE-Biomass_Early_y22_LAI_sampling-2,B,ACRE-Biomass,sampling-2,LAI,y22,AE2-010B,2.514,7/25/2022,7:57:40,54
10,3,K17-6388,4,Schapaugh,1,Early,10_A_ACRE-Biomass_Early_y22_LAI_sampling-3,A,ACRE-Biomass,sampling-3,LAI,y22,AE3-010A,5.452,8/1/2022,15:33:01,61
10,3,K17-6388,4,Schapaugh,1,Early,10_B_ACRE-Biomass_Early_y22_LAI_sampling-3,B,ACRE-Biomass,sampling-3,LAI,y22,AE3-010B,5.228,8/1/2022,15:34:09,61
10,3,K17-6388,4,Schapaugh,1,Early,10_A_ACRE-Biomass_Early_y22_LAI_sampling-4,A,ACRE-Biomass,sampling-4,LAI,y22,AE4-010A,4.779,8/9/2022,7:50:48,69
10,3,K17-6388,4,Schapaugh,1,Early,10_B_ACRE-Biomass_Early_y22_LAI_sampling-4,B,ACRE-Biomass,sampling-4,LAI,y22,AE4-010B,5.141,8/9/2022,7:51:25,69
10,3,K17-6388,4,Schapaugh,1,Early,10_A_ACRE-Biomass_Early_y22_LAI_sampling-5,A,ACRE-Biomass,sampling-5,LAI,y22,AE5-010A,7.093,8/17/2022,8:00:33,77
10,3,K17-6388,4,Schapaugh,1,Early,10_B_ACRE-Biomass_Early_y22_LAI_sampling-5,B,ACRE-Biomass,sampling-5,LAI,y22,AE5-010B,6.926,8/17/2022,8:01:11,77
11,3,HM17-02244,13,Leah,1,Early,11_A_ACRE-Biomass_Early_y22_LAI_sampling-1,A,ACRE-Biomass,sampling-1,LAI,y22,AE1-011A,1.382,7/13/2022,7:56:12,42
11,3,HM17-02244,13,Leah,1,Early,11_B_ACRE-Biomass_Early_y22_LAI_sampling-1,B,ACRE-Biomass,sampling-1,LAI,y22,AE1-011B,1.876,7/13/2022,7:57:09,42
11,3,HM17-02244,13,Leah,1,Early,11_A_ACRE-Biomass_Early_y22_LAI_sampling-2,A,ACRE-Biomass,sampling-2,LAI,y22,AE2-011A,1.528,7/25/2022,7:58:26,54
11,3,HM17-02244,13,Leah,1,Early,11_B_ACRE-Biomass_Early_y22_LAI_sampling-2,B,ACRE-Biomass,sampling-2,LAI,y22,AE2-011B,2.799,7/25/2022,7:59:40,54
11,3,HM17-02244,13,Leah,1,Early,11_B_ACRE-Biomass_Early_y22_LAI_sampling-3,B,ACRE-Biomass,sampling-3,LAI,y22,AE3-011B,3.951,8/1/2022,15:35:40,61
11,3,HM17-02244,13,Leah,1,Early,11_A_ACRE-Biomass_Early_y22_LAI_sampling-4,A,ACRE-Biomass,sampling-4,LAI,y22,AE4-011A,3.558,8/9/2022,7:51:56,69
11,3,HM17-02244,13,Leah,1,Early,11_B_ACRE-Biomass_Early_y22_LAI_sampling-4,B,ACRE-Biomass,sampling-4,LAI,y22,AE4-011B,3.676,8/9/2022,7:53:17,69
11,3,HM17-02244,13,Leah,1,Early,11_A_ACRE-Biomass_Early_y22_LAI_sampling-5,A,ACRE-Biomass,sampling-5,LAI,y22,AE5-011A,4.189,8/17/2022,8:02:21,77
11,3,HM17-02244,13,Leah,1,Early,11_B_ACRE-Biomass_Early_y22_LAI_sampling-5,B,ACRE-Biomass,sampling-5,LAI,y22,AE5-011B,4.957,8/17/2022,8:03:17,77
12,3,CR16-0042,15,Rainey,1,Early,12_A_ACRE-Biomass_Early_y22_LAI_sampling-1,A,ACRE-Biomass,sampling-1,LAI,y22,AE1-012A,1.769,7/13/2022,7:57:49,42
12,3,CR16-0042,15,Rainey,1,Early,12_B_ACRE-Biomass_Early_y22_LAI_sampling-1,B,ACRE-Biomass,sampling-1,LAI,y22,AE1-012B,0.972,7/13/2022,7:58:57,42
12,3,CR16-0042,15,Rainey,1,Early,12_A_ACRE-Biomass_Early_y22_LAI_sampling-2,A,ACRE-Biomass,sampling-2,LAI,y22,AE2-012A,0.9908,7/25/2022,8:00:36,54
12,3,CR16-0042,15,Rainey,1,Early,12_B_ACRE-Biomass_Early_y22_LAI_sampling-2,B,ACRE-Biomass,sampling-2,LAI,y22,AE2-012B,1.838,7/25/2022,8:01:46,54
12,3,CR16-0042,15,Rainey,1,Early,12_A_ACRE-Biomass_Early_y22_LAI_sampling-3,A,ACRE-Biomass,sampling-3,LAI,y22,AE3-012A,3.678,8/1/2022,15:36:36,61
12,3,CR16-0042,15,Rainey,1,Early,12_B_ACRE-Biomass_Early_y22_LAI_sampling-3,B,ACRE-Biomass,sampling-3,LAI,y22,AE3-012B,3.123,8/1/2022,15:37:11,61
12,3,CR16-0042,15,Rainey,1,Early,12_A_ACRE-Biomass_Early_y22_LAI_sampling-4,A,ACRE-Biomass,sampling-4,LAI,y22,AE4-012A,2.698,8/9/2022,7:54:03,69
12,3,CR16-0042,15,Rainey,1,Early,12_B_ACRE-Biomass_Early_y22_LAI_sampling-4,B,ACRE-Biomass,sampling-4,LAI,y22,AE4-012B,2.562,8/9/2022,7:54:28,69
12,3,CR16-0042,15,Rainey,1,Early,12_A_ACRE-Biomass_Early_y22_LAI_sampling-5,A,ACRE-Biomass,sampling-5,LAI,y22,AE5-012A,3.319,8/17/2022,8:06:00,77
12,3,CR16-0042,15,Rainey,1,Early,12_B_ACRE-Biomass_Early_y22_LAI_sampling-5,B,ACRE-Biomass,sampling-5,LAI,y22,AE5-012B,3.382,8/17/2022,8:06:25,77
13,4,LD00-2817,23,Checks,1,Early,13_A_ACRE-Biomass_Early_y22_LAI_sampling-1,A,ACRE-Biomass,sampling-1,LAI,y22,AE1-013A,1.266,7/13/2022,8:02:19,42
13,4,LD00-2817,23,Checks,1,Early,13_B_ACRE-Biomass_Early_y22_LAI_sampling-1,B,ACRE-Biomass,sampling-1,LAI,y22,AE1-013B,0.6699,7/13/2022,8:05:19,42
13,4,LD00-2817,23,Checks,1,Early,13_A_ACRE-Biomass_Early_y22_LAI_sampling-2,A,ACRE-Biomass,sampling-2,LAI,y22,AE2-013A,2.193,7/25/2022,8:08:29,54
13,4,LD00-2817,23,Checks,1,Early,13_B_ACRE-Biomass_Early_y22_LAI_sampling-2,B,ACRE-Biomass,sampling-2,LAI,y22,AE2-013B,1.848,7/25/2022,8:09:05,54
13,4,LD00-2817,23,Checks,1,Early,13_A_ACRE-Biomass_Early_y22_LAI_sampling-3,A,ACRE-Biomass,sampling-3,LAI,y22,AE3-013A,3.668,8/1/2022,15:37:46,61
13,4,LD00-2817,23,Checks,1,Early,13_B_ACRE-Biomass_Early_y22_LAI_sampling-3,B,ACRE-Biomass,sampling-3,LAI,y22,AE3-013B,4.351,8/1/2022,15:39:02,61
13,4,LD00-2817,23,Checks,1,Early,13_A_ACRE-Biomass_Early_y22_LAI_sampling-4,A,ACRE-Biomass,sampling-4,LAI,y22,AE4-013A,2.557,8/9/2022,7:55:07,69
13,4,LD00-2817,23,Checks,1,Early,13_B_ACRE-Biomass_Early_y22_LAI_sampling-4,B,ACRE-Biomass,sampling-4,LAI,y22,AE4-013B,2.679,8/9/2022,7:55:34,69
13,4,LD00-2817,23,Checks,1,Early,13_A_ACRE-Biomass_Early_y22_LAI_sampling-5,A,ACRE-Biomass,sampling-5,LAI,y22,AE5-013A,3.109,8/17/2022,8:06:57,77
13,4,LD00-2817,23,Checks,1,Early,13_B_ACRE-Biomass_Early_y22_LAI_sampling-5,B,ACRE-Biomass,sampling-5,LAI,y22,AE5-013B,3.687,8/17/2022,8:07:23,77
14,4,LD11-2170,9,Diers,1,Early,14_A_ACRE-Biomass_Early_y22_LAI_sampling-1,A,ACRE-Biomass,sampling-1,LAI,y22,AE1-014A,1.016,7/13/2022,8:07:03,42
14,4,LD11-2170,9,Diers,1,Early,14_B_ACRE-Biomass_Early_y22_LAI_sampling-1,B,ACRE-Biomass,sampling-1,LAI,y22,AE1-014B,1.04,7/13/2022,8:08:24,42
14,4,LD11-2170,9,Diers,1,Early,14_A_ACRE-Biomass_Early_y22_LAI_sampling-2,A,ACRE-Biomass,sampling-2,LAI,y22,AE2-014A,1.909,7/25/2022,8:10:35,54
14,4,LD11-2170,9,Diers,1,Early,14_B_ACRE-Biomass_Early_y22_LAI_sampling-2,B,ACRE-Biomass,sampling-2,LAI,y22,AE2-014B,3.703,7/25/2022,8:11:10,54
14,4,LD11-2170,9,Diers,1,Early,14_A_ACRE-Biomass_Early_y22_LAI_sampling-3,A,ACRE-Biomass,sampling-3,LAI,y22,AE3-014A,4.036,8/1/2022,15:39:41,61
